Continent,Country,Code,Language,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,Notes
Europe,Czechia,cs,Czech,Prague,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,
Europe,Belgium,nl,Dutch,Antwerp,Ghent,Bruges,Leuven,Mechelen,Aalst,Hasselt,Sint-Niklaas,Official in Flanders & Brussels
Europe,Netherlands,nl,Dutch,Amsterdam,Rotterdam,The Hague,Utrecht,Eindhoven,Groningen,Tilburg,Almere,
Europe,Ireland,en,English,Dublin,Cork,Limerick,Galway,Waterford,Drogheda,Dundalk,Swords,
Europe,Malta,en,English,Valletta,Birkirkara,Mosta,Qormi,Żabbar,Sliema,San Ġwann,Naxxar,Co-official with Maltese
Europe,United Kingdom,en,English,London,Birmingham,Manchester,Leeds,Glasgow,Liverpool,Newcastle,Sheffield,De facto official
Europe,Belgium,fr,French,Brussels,Charleroi,Liège,Namur,Mons,La Louvière,Tournai,Verviers,Official in Wallonia & Brussels
Europe,France,fr,French,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,
Europe,Luxembourg,fr,French,Luxembourg City,Esch-sur-Alzette,Differdange,Dudelange,Ettelbruck,Diekirch,Wiltz,Echternach,
Europe,Monaco,fr,French,Monaco,Monte Carlo,La Condamine,Fontvieille,Moneghetti,Larvotto,La Rousse,Saint-Roman,Quartiers listed (city-state)
Europe,Switzerland,fr,French,Geneva,Lausanne,Zürich,Bern,Basel,Fribourg,Neuchâtel,Sion,One of 4 national languages
Europe,Austria,de,German,Vienna,Graz,Linz,Salzburg,Innsbruck,Klagenfurt,Villach,Wels,
Europe,Belgium,de,German,Eupen,Sankt Vith,Kelmis,Raeren,Büllingen,Amel,Bütgenbach,Burg-Reuland,Official in German-speaking Community
Europe,Germany,de,German,Berlin,Hamburg,Munich,Cologne,Frankfurt,Stuttgart,Düsseldorf,Dortmund,
Europe,Liechtenstein,de,German,Vaduz,Schaan,Triesen,Balzers,Eschen,Mauren,Triesenberg,Ruggell,
Europe,Luxembourg,de,German,Luxembourg City,Esch-sur-Alzette,Differdange,Dudelange,Ettelbruck,Diekirch,Wiltz,Echternach,One of 3 official languages
Europe,Switzerland,de,German,Zürich,Geneva,Basel,Bern,Lausanne,Winterthur,Lucerne,St. Gallen,One of 4 national languages
Europe,Italy,it,Italian,Rome,Milan,Naples,Turin,Palermo,Genoa,Bologna,Florence,
Europe,San Marino,it,Italian,San Marino,Serravalle,Borgo Maggiore,Domagnano,Fiorentino,Acquaviva,Faetano,Chiesanuova,
Europe,Switzerland,it,Italian,Lugano,Bellinzona,Locarno,Mendrisio,Chiasso,Biasca,Giubiasco,Massagno,Official in Ticino & Grisons
Europe,Poland,pl,Polish,Warsaw,Kraków,Łódź,Wrocław,Poznań,Gdańsk,Szczecin,Bydgoszcz,
Europe,Portugal,pt,Portuguese,Lisbon,Porto,Vila Nova de Gaia,Amadora,Braga,Coimbra,Funchal,Setúbal,
Europe,Belarus,ru,Russian,Minsk,Gomel,Mogilev,Vitebsk,Hrodna,Brest,Babruysk,Baranavichy,Co-official with Belarusian
Europe,Russia,ru,Russian,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,Kazan,Nizhny Novgorod,Chelyabinsk,Samara,Transcontinental
Europe,Slovakia,sk,Slovak,Bratislava,Košice,Prešov,Žilina,Nitra,Banská Bystrica,Trnava,Trenčín,
Europe,Spain,es,Spanish,Madrid,Barcelona,Valencia,Seville,Zaragoza,Málaga,Murcia,Palma,
Europe,Cyprus,tr,Turkish,Nicosia,Limassol,Larnaca,Famagusta,Paphos,Kyrenia,Morphou,Aradippou,Co-official with Greek
Europe,Ukraine,uk,Ukrainian,Kyiv,Kharkiv,Odesa,Dnipro,Donetsk,Zaporizhzhia,Lviv,Kryvyi Rih,
North America,Antigua and Barbuda,en,English,St. John's,All Saints,Liberta,Potter's Village,Bolans,Swetes,Codrington,Parham,
North America,Bahamas,en,English,Nassau,Freeport,Lucaya,West End,Coopers Town,Marsh Harbour,Freetown,High Rock,
